year,coal_peat__available_final_energy_consumption,coal_peat__commercialpublic_services,coal_peat__exports,coal_peat__imports,coal_peat__indigenous_production,coal_peat__industry,coal_peat__own_use_and_distribution_losses,coal_peat__primary_energy_requirement_excl_nonenergy,coal_peat__primary_energy_supply_incl_nonenergy,coal_peat__residential,coal_peat__total_final_energy_consumption,coal_peat__transformation_input,coal_peat__transformation_output,electricity__agricultural,electricity__available_final_energy_consumption,electricity__commercialpublic_services,electricity__exports,electricity__imports,electricity__industry,electricity__own_use_and_distribution_losses,electricity__primary_energy_requirement_excl_nonenergy,electricity__primary_energy_supply_incl_nonenergy,electricity__residential,electricity__total_final_energy_consumption,electricity__transformation_input,electricity__transformation_output,electricity__transport,natural_gas__available_final_energy_consumption,natural_gas__commercialpublic_services,natural_gas__imports,natural_gas__indigenous_production,natural_gas__industry,natural_gas__own_use_and_distribution_losses,natural_gas__primary_energy_requirement_excl_nonenergy,natural_gas__primary_energy_supply_incl_nonenergy,natural_gas__residential,natural_gas__total_final_energy_consumption,natural_gas__transformation_input,natural_gas__transport,oil_petroleum__agricultural,oil_petroleum__available_final_energy_consumption,oil_petroleum__commercialpublic_services,oil_petroleum__exports,oil_petroleum__imports,oil_petroleum__industry,oil_petroleum__own_use_and_distribution_losses,oil_petroleum__primary_energy_requirement_excl_nonenergy,oil_petroleum__primary_energy_supply_incl_nonenergy,oil_petroleum__residential,oil_petroleum__total_final_energy_consumption,oil_petroleum__transformation_input,oil_petroleum__transformation_output,oil_petroleum__transport,other_fossil__available_final_energy_consumption,other_fossil__indigenous_production,other_fossil__industry,other_fossil__primary_energy_requirement_excl_nonenergy,other_fossil__primary_energy_supply_incl_nonenergy,other_fossil__total_final_energy_consumption,other_fossil__transformation_input,other_renewables__available_final_energy_consumption,other_renewables__commercialpublic_services,other_renewables__indigenous_production,other_renewables__primary_energy_requirement_excl_nonenergy,other_renewables__primary_energy_supply_incl_nonenergy,other_renewables__residential,other_renewables__total_final_energy_consumption,renewables_bio__available_final_energy_consumption,renewables_bio__commercialpublic_services,renewables_bio__exports,renewables_bio__imports,renewables_bio__indigenous_production,renewables_bio__industry,renewables_bio__primary_energy_requirement_excl_nonenergy,renewables_bio__primary_energy_supply_incl_nonenergy,renewables_bio__residential,renewables_bio__total_final_energy_consumption,renewables_bio__transformation_input,renewables_bio__transport,renewables_hydro__indigenous_production,renewables_hydro__primary_energy_requirement_excl_nonenergy,renewables_hydro__primary_energy_supply_incl_nonenergy,renewables_solar__available_final_energy_consumption,renewables_solar__commercialpublic_services,renewables_solar__indigenous_production,renewables_solar__primary_energy_requirement_excl_nonenergy,renewables_solar__primary_energy_supply_incl_nonenergy,renewables_solar__residential,renewables_solar__total_final_energy_consumption,renewables_wind__indigenous_production,renewables_wind__primary_energy_requirement_excl_nonenergy,renewables_wind__primary_energy_supply_incl_nonenergy,total__agricultural,total__available_final_energy_consumption,total__commercialpublic_services,total__exports,total__imports,total__indigenous_production,total__industry,total__own_use_and_distribution_losses,total__primary_energy_requirement_excl_nonenergy,total__primary_energy_supply_incl_nonenergy,total__residential,total__total_final_energy_consumption,total__transformation_input,total__transformation_output,total__transport
2024,533.4676836391158,0.0,27.524062376,339.71824379357247,255.408,0.0,0.0,820.3962627893382,820.3962627893382,0.0,0.0,321.1099485899401,0.0,0.0,2802.9138194314223,0.0,18.1267962,453.3593544,0.0,278.2393389715629,435.2325582,435.2325582,0.0,0.0,46.85275699999999,1551.525751377121,0.0,1769.6912286575368,0.0,3393.353822883354,876.5900303151064,0.0,55.50936887736595,4269.943853198461,4269.943853198461,0.0,0.0,2448.119170279702,0.0,0.0,13916.806470979993,0.0,2113.2134776757935,16981.594929804014,0.0,139.89907745532375,14091.011871023074,14487.846750280542,0.0,0.0,4548.13997564724,4242.8426696758725,0.0,72.42433382400002,156.19145509675351,0.0,156.19145509675351,156.19145509675351,0.0,83.7671212727535,103.79639772353538,0.0,103.79639772353538,103.79639772353538,103.79639772353538,0.0,0.0,568.8749670573118,0.0,12.063036284015999,310.9063467409951,521.3001992916893,0.0,820.7463270326889,820.7463270326889,0.0,0.0,248.49544535923323,0.0,65.88802168981832,65.88802168981832,65.88802168981832,14.043912804447732,0.0,106.58699142316769,106.58699142316769,106.58699142316769,0.0,0.0,982.816505517326,982.816505517326,982.816505517326,0.0,12579.779984783914,0.0,1106.368589051318,12846.984345340654,2940.873601057397,0.0,403.6982465765908,14396.906176787956,14618.221864392795,0.0,0.0,5261.859456030279,3672.9470862150574,0.0
2023.0,564.9246094295585,0.4239362406015036,32.034294313376,802.507171917604,255.408,104.680058373182,7.1428732479920045,1236.40395884686,1236.40395884686,475.6551842062182,580.7591788200018,725.5223473116154,23.30146332,42.394664825848295,2685.319839200241,1370.270358543027,38.39195659999999,320.02053399999994,576.6847532503314,271.78872707556417,281.6285773999999,281.6285773999999,696.9241582802189,2714.6504435836505,47.3019694,1582.4337857810206,28.37650868422477,1658.5542162601953,325.09324750617145,3215.0413773748437,934.8102988628082,849.4845832997253,53.31658492732423,4149.851676237651,4149.851676237651,464.82062392579337,1654.7368118476957,2443.114040062276,15.338357116005538,454.7705527395968,13872.199805079661,388.92607798341237,2711.1543056680125,16997.889307491918,673.2544945878318,215.6142570315634,13768.280399407837,14165.115278665302,2082.231983848745,13461.599060300834,5906.872807395827,5960.886558107934,9823.118369399912,74.80563245120143,168.41424127137063,74.80563245120145,168.41424127137063,168.41424127137063,74.80563245120145,93.6086088201692,87.4381441847864,24.330046240975367,87.4381441847864,87.4381441847864,87.4381441847864,63.10809794381103,87.4381441847864,515.6956637335705,24.77017432913111,16.444774484688,261.2848358529681,491.4885731680115,171.353412864457,731.1196878113867,731.1196878113867,25.184231851508297,523.1489159425167,210.29085906567215,301.8410968974203,81.07662757111072,81.07662757111072,81.07662757111072,14.100680542736976,0.1664946616572057,69.69810460308459,69.69810460308459,69.69810460308459,13.93418588107977,14.100680542736976,1003.6741208633264,1003.6741208633264,1003.6741208633264,269.77994119564664,12277.37463160345,1939.305328392969,1432.2410176167878,12725.253221450084,2964.304110524498,2061.292971746222,436.4838771426661,14075.243359070066,14296.559046674907,2542.9148819098928,12090.057061513007,6110.513054701839,4574.527796494987,5257.115147397607
2022.0,687.5211814233887,0.4239362406015036,39.029909269856,1884.7582245188466,255.408,141.66139893424,14.148629068412129,1898.6451820675559,1898.6451820675559,569.317914757745,711.4032499325866,1306.933580151864,64.60151162000001,46.56481079605726,2607.1050602825258,1267.4573852268052,114.356866,136.02009399999997,568.7055659489492,282.3714752612618,21.66322799999997,21.66322799999997,705.8341084112852,2607.6227564418336,43.971542,1874.7712548194288,19.060886058736465,1806.1087312606717,345.6619924632008,3306.491910370822,1164.6782896169382,902.9614287525428,54.067608253983295,4471.1701999877605,4471.1701999877605,539.7924043487252,1804.99599011064,2614.49559183629,16.5801645461717,507.5930355317952,13474.450408668628,379.8170345490833,3118.8961917734905,17642.591899985317,692.9825795759615,237.19030044613376,13819.751776119674,14224.50547782921,2090.2434568450526,13244.890233312517,6721.099202189241,6306.3622093815375,9539.680316727785,58.377269159703815,148.37784835518525,58.37726915970382,148.37784835518525,148.37784835518525,58.37726915970382,90.00057919548144,71.26973508628534,23.126490420175365,71.26973508628534,71.26973508628534,71.26973508628534,48.14324466610997,71.26973508628534,465.44063533076326,27.897167318205472,14.593062077759999,187.2379722736923,551.1841413617524,184.1706743310174,711.689808220207,711.689808220207,25.111020523630533,464.3047767582043,242.74744152625968,227.12591458535084,60.30334748066673,60.30334748066673,60.30334748066673,14.055233512887735,0.1664946616572057,26.84036927425427,26.84036927425427,26.84036927425427,13.888738851230531,14.055233512887735,963.925111482326,963.925111482326,963.925111482326,300.3613285619549,12128.969262236233,1854.4300154848863,1712.8096057860994,13423.948468640649,3114.282842657408,2131.534599947314,462.1085482725181,14334.438126980298,14562.441780392455,2662.55020260238,11998.770175192103,7005.231545728583,5060.253115320197,5032.607123554151
2021.0,889.3980214343425,0.3939407518796992,39.55096440959999,1970.9388735547489,255.408,178.75282505320004,20.93822579350463,2356.6297227764853,2356.6297227764853,732.0263258025326,911.1730916076123,1604.2471497354516,110.04277885200003,48.24048649197319,2543.191624112303,1176.2181403952036,74.22851607999999,210.76152354000004,584.1101027620864,280.4427939327367,136.53300746000005,136.53300746000005,751.7880583469276,2573.07411093492,53.47371812,1827.8706563586245,12.717322938729293,1950.394568787037,349.78607595691346,3125.5692350126933,1258.1586865025404,985.92897372241,54.817977940294135,4383.727921515234,4383.727921515234,594.995406664786,1947.3902190518304,2378.944202686638,16.679762707720784,368.537352205295,12493.12422112486,392.50228987113763,3407.070808784654,16907.422549866693,682.3885208943454,199.9875368950721,12676.614931856573,13389.691737441866,2508.024901538166,11951.026790738768,6977.433592494767,6367.418052835038,7962.045974033713,53.91286811721949,142.9359805195511,53.91286811721948,142.9359805195511,142.9359805195511,53.91286811721948,89.0231124023316,57.27241616078333,21.922934599375363,57.27241616078333,57.27241616078333,57.27241616078333,35.34948156140796,57.27241616078332,409.61642577563,26.022259314570235,17.509651322400003,155.36127940924564,508.64345820659776,179.7935324465377,647.9559641309946,647.9559641309946,28.125378051819894,414.77861635903093,237.91071045662864,180.83744654610308,64.4501145808845,64.4501145808845,64.4501145808845,14.011375971201144,0.1664946616572057,21.32500929309444,21.32500929309444,21.32500929309444,13.844881309543936,14.011375971201142,840.9407244436374,840.9407244436374,840.9407244436374,232.5091625946207,11740.800484599244,1770.5640202392285,1819.7557627756048,12956.71954284421,3021.4303897070886,2234.316150022026,445.7236532173192,13811.76346542071,14189.44195260883,3044.128819604835,11491.539547768176,7050.192114780706,5066.601072202144,4191.257519209409
2020.0,935.870142676641,0.3619455639097744,25.7698963038976,543.9706850048433,255.408,152.18594634340002,18.097693451603572,1730.3894521411212,1730.3894521411212,769.3737296165766,921.9216215238865,948.2456081348176,124.62716992000001,49.27773649060927,2440.218044625946,1075.1578701945346,164.51504246,151.4556148,582.0069106754585,263.89314971775485,-13.059427659999985,-13.059427659999985,746.7257515729577,2461.414869356167,57.9407241,1696.8790007913435,8.246600422607042,1900.249588878912,322.10315322080623,2909.737435089034,1666.2625075902808,1028.2966229783244,60.96626883535253,4575.999942679315,4575.999942679315,589.7586288,1955.922235504188,2614.87121611209,15.76383050505719,370.36833524774073,11989.60525692288,368.827360462239,3485.190293522731,16621.52434755668,660.4507817704019,187.13416313017095,11998.869619914332,12418.748058094692,2783.4024690610954,11650.858819392712,6132.0945061297,5985.289919020289,7429.453166660196,53.59513442952165,146.7240449108409,53.59513442952163,146.7240449108409,146.7240449108409,53.59513442952163,93.12891048131924,49.566012617906274,20.599451508175363,49.566012617906274,49.566012617906274,49.566012617906274,28.966561109730915,49.56601261790628,418.4805956346071,23.45191389207521,16.625089489536,195.39281044063506,479.85696603473025,191.22579596031602,656.2706280885633,656.2706280885633,27.581320676749407,418.37930891683243,237.7029013069163,176.12027838769183,80.208366922724,80.208366922724,80.208366922724,14.065106577357614,0.1664946616572057,18.838962192264738,18.838962192264738,18.838962192264738,13.898611915700409,14.065106577357612,993.250122774726,993.250122774726,993.250122774726,234.4619041144796,11359.954656641565,1626.073536490323,1940.26418095065,11864.01980477578,3562.410983043473,2261.4428281005216,427.47534684399466,13372.428188554068,13603.4098817218,3183.318973413974,11239.332887860272,6543.8138091325845,4751.837545261487,3914.8572926454544
2019.0,880.1848595818384,0.9078634586466166,28.0947445154272,541.9299610075931,781.1383151783996,158.302350805,16.81079055377395,2032.4981068531704,2032.4981068531704,739.0892769937514,898.299491257398,1278.9554613504342,108.78473682,47.24240268525429,2410.251277521157,1143.4380336185277,132.01331443999996,187.44378884,547.5154721950212,254.5498431508244,55.43047440000001,55.43047440000001,697.1164067438776,2442.739526674857,52.83924538,1721.3427016134256,7.427211432176424,1935.5202228900107,370.733192111683,2424.347743607717,2146.950046059677,988.8776542659084,65.86093282560846,4571.297789667394,4571.297789667394,591.3570011482869,1968.3871441887125,2569.9166339517747,17.419296662833837,363.06702372215466,14403.104082880143,422.73782418776455,3127.686871358531,18049.00765560078,666.6746732662384,160.94488635425705,14356.486860565892,14793.691002794641,2420.6458919751913,14044.615428596857,5842.455548434677,5714.317911028384,10124.434195872236,56.66171229235688,145.29115639080388,56.66171229235689,145.29115639080388,145.29115639080388,56.66171229235689,88.629444098447,42.76576622365079,18.02529831137536,42.76576622365079,42.76576622365079,42.76576622365079,24.74046791227543,42.76576622365079,429.8249227478012,21.79871137198753,6.701067115103999,184.86335803901116,470.3624822567191,191.09559511246843,643.620882452038,643.620882452038,26.56948053789443,428.7491076849592,213.79595970423682,189.28532066260874,76.24621663358398,76.24621663358398,76.24621663358398,13.690577884670216,0.1664946616572057,16.635893890316197,16.635893890316197,16.635893890316197,13.524083223013008,13.690577884670214,861.6756573993262,861.6756573993262,861.6756573993262,228.7759145463316,12550.687243434815,1765.9845738984363,1720.324782856302,12116.171584799313,4150.496376443277,2196.6389459013744,409.2886144304484,14607.456320766643,14846.386684525196,2933.1750240498186,12424.451294876331,6485.886788027014,4632.894025537617,5276.348926693736
2018.0,1039.5107998963672,1.117831879699248,44.43929778179199,1806.9893251016563,1631.848697972568,212.50890477512004,20.56649667968404,2946.5751355257366,2946.5751355257366,826.5839792673078,1040.2107159221273,2060.321558090998,129.343596,47.988,2361.4299911169883,1087.3235215739426,141.83539077999998,139.4506168,553.573444980091,259.46681438260055,-2.384773979999977,-2.384773979999977,702.0642831748074,2396.646743898596,54.38453208,1873.361490524092,5.697494169754885,1916.5135219385531,355.6585737976508,1728.338063506957,2751.919187218711,974.4750645733906,57.528599543766255,4480.257250725668,4480.257250725668,604.0937584591271,1956.788232245752,2506.2151292433487,22.560835415583806,350.9309831718615,14473.975763006241,454.72907777217824,3425.362800996636,18229.0643348255,671.5833509232069,196.56931523407164,14305.844676697108,14732.790714495957,2455.4206698518738,14088.58337246629,6346.463143762133,6333.571738417937,10101.419559279842,54.72293960497409,145.4371029794983,54.722939604974094,145.4371029794983,145.4371029794983,54.722939604974094,90.7141633745242,37.202107064864585,15.65245160417537,37.202107064864585,37.202107064864585,37.202107064864585,21.549655460689216,37.202107064864585,405.36032983118827,24.360199258809786,9.447658517856,153.41548873811828,472.98595286272734,199.25737253651204,621.2638590083648,621.2638590083648,30.375513223272744,408.5396152811418,215.90352917717644,154.54653026254715,59.69170898797,59.69170898797,59.69170898797,13.54608560366562,0.1664946616572057,15.139074835866447,15.139074835866447,15.139074835866447,13.379590942008411,13.54608560366562,743.0199228153261,743.0199228153261,743.0199228153261,223.45349158593075,12563.628522389195,1711.0846957221745,1890.5651729766864,12061.722339075934,5041.319405751247,2224.075188908131,425.5633198832446,14725.836158548978,14957.419443226065,3012.465125819496,12431.843007257205,7070.609704801615,5104.81915773306,5233.514639487807
2017.0,966.772647475131,1.0698390977443608,30.3147251457888,2536.686058161236,1487.7755984050675,205.98762491292,27.10804934299057,3682.7556328033,3682.7556328033,768.1580003305505,975.2154643412148,2869.39064201097,150.29218,47.988,2297.962237869615,975.6296938442867,154.36227892,96.01106391999998,577.970774206352,254.45783773342808,-58.35121500000001,-58.35121500000001,683.9452647896996,2290.1843393363347,44.40885114,1954.666360056056,4.650606495996143,1792.2480202085185,326.25693541766674,1408.596059045121,2853.989388843795,914.245465936013,49.66245243036107,4315.460581690997,4315.460581690997,555.4976708687021,1816.2291519863304,2473.550109052117,20.229079763948164,330.0231132381915,13917.180777967409,414.93547122206144,4366.860768635118,18589.370457901885,634.0467766132831,185.534136965456,13721.03161629448,14163.638562708464,2290.0732409467737,13555.458428872442,6590.850390748529,6562.79076586369,9840.7208135674,56.85091623773677,113.24184816956344,56.85091623773679,113.24184816956344,113.24184816956344,56.85091623773679,56.39093193182667,35.61701239199524,14.96715291617537,35.61701239199524,35.61701239199524,35.61701239199524,20.64985947581987,35.61701239199524,403.28644085158413,26.941040537816114,0.2063231999999999,159.06084503323777,425.16824528724914,193.4291133525881,587.385294864147,587.385294864147,28.360826150391887,409.37205572484413,184.09885401256287,160.641075684048,59.47784964114398,59.47784964114398,59.47784964114398,12.643166496154558,0.1661430807347097,13.491957060902044,13.491957060902044,13.491957060902044,12.47702341541985,12.64316649615456,640.1871414810955,640.1871414810955,640.1871414810955,212.99955661909576,12059.420228283194,1551.9636209565826,2357.88327187321,12250.258870398997,4885.061242078278,2162.513470495792,410.4413833180124,14408.404094848736,14648.543289562043,2830.046265338696,11886.233588780226,7488.569262516255,5311.207832987901,5105.881168727691
2016.0,1111.076058341728,1.215817142857143,27.735814299312,2462.125853580056,1358.8141691997523,214.6541429895,23.08746837789286,4368.196782065032,4368.196782065032,907.9171137644765,1123.787073896834,3419.8208424910495,162.293936,47.988,2252.8276759419427,960.0516056603092,136.13896319999998,74.9285836,579.0880514130199,254.22815999841504,-61.21037959999998,-61.21037959999998,677.056040492196,2268.4547768538982,55.74867697999999,2036.3705401667912,4.271079288372765,1798.9847381236011,337.78828867256186,1704.389209270803,2492.6370966750883,866.7268199395795,51.299387818969365,4250.876608617583,4250.876608617583,562.989778923585,1788.7909026396824,2400.5924826750124,21.28601510395606,318.4562855825315,14085.090050941115,435.8210178018752,3277.8664298822446,17972.958095843896,633.9444471244624,159.53451327901325,13892.390950913306,14386.636414566554,2394.895136645924,13471.780745610007,6749.176235815815,6637.079852884593,9650.105619950338,41.69861359084333,66.64222895800333,41.69861359084333,66.64222895800333,66.64222895800333,41.69861359084333,24.94361536716,32.3018988564662,12.297063268128603,32.3018988564662,32.3018988564662,32.3018988564662,20.00483558833761,32.30189885646621,343.63993978856627,29.9616666853882,0.2063231999999999,139.57006967030478,373.020816776959,175.8480479746474,503.63976633354787,503.63976633354787,34.41161199147158,358.70297911763515,159.99982654498154,118.481652466128,58.568191835904,58.568191835904,58.568191835904,12.089978425167654,0.1661430807347097,12.520462929164761,12.520462929164761,12.520462929164761,11.923835344432945,12.089978425167653,528.6456760136649,528.6456760136649,528.6456760136649,207.21614279126572,12096.796690750867,1558.783184839489,1792.9101785973885,12157.364398742557,4243.743456645127,2087.654865585071,396.8385386458375,14522.278320433505,14786.57184364299,2957.792227545224,11799.817096847111,7725.783140720586,5436.057434609088,4969.091556833626
2015.0,1111.5399049006217,0.557916090225564,36.832900007758404,3041.5358439491397,1538.5060067787792,213.48353029256,17.62225845889589,4464.928655997028,4464.928655997028,895.5635106074375,1109.6049569902232,3496.8394298051244,130.74259,47.988,2197.782342934398,927.5378361643064,92.75998699999998,150.669807,560.7787105883939,245.1058369148743,57.90982000000001,57.90982000000001,677.74542579,2217.838235305523,56.4219426,1806.4941905531275,3.7882627628226455,1750.7926417918543,352.9243301100669,3628.752036535598,112.54355351036943,800.8169649407388,73.37273357484956,3769.0771681468505,3769.0771681468505,555.1131624284506,1712.7792311097014,1944.9117927801467,3.924773630445055,303.2833430035128,13326.2288943264,466.9093151021432,3546.9490235688127,18175.17394590863,633.451109434332,201.18506561238155,13306.400213357641,13686.89087627951,2219.0089433302733,12965.880890819679,7086.262240648001,6962.33053940652,9301.237366096671,43.974944721797215,68.78530811048921,43.97494472179722,68.78530811048921,68.78530811048921,43.97494472179722,24.810363388692,27.006210717095595,10.164768561249272,27.006210717095595,27.006210717095595,27.006210717095595,16.841442155846327,27.0062107170956,348.8911542310124,21.555591949995208,0.2069493335999999,124.34969948785199,339.19860628406303,179.1717042082929,464.0628428186151,464.0628428186151,33.711271272241746,362.57102405574585,115.17168858760266,128.13245662521598,69.35815599686,69.35815599686,69.35815599686,11.427707745270592,0.1661430807347097,11.697869442554909,11.697869442554909,11.697869442554909,11.26156466453588,11.42770774527059,565.277794202,565.277794202,565.277794202,199.6296715017564,11616.009957804648,1546.082285462537,1888.8052831428852,14533.32437902304,1963.1205016528215,2008.147061172669,427.8822325253626,13918.839604111798,14126.335491622443,2851.9590932799306,11413.277694410084,7432.866622583005,5353.030755256388,4786.464176066819
